"perm","id_1","id_2","name_1","name_2","lat_id_1","lon_id_1","lat_id_2","lon_id_2","distance"
way/1180028681way/367482920,way/1180028681,way/367482920,Veterans Memorial Park,Sergeant Collins Triangle,40.8964486,-73.9731078,40.751779,-73.902945,23021.5
way/1180028681way/755070460,way/1180028681,way/755070460,Veterans Memorial Park,Nature Study Woods,40.8964486,-73.9731078,40.9356728,-73.8025819,29746.2
way/225189513way/701209222,way/225189513,way/701209222,Poor Richard's Playground,Stewart Field,40.7926185,-73.9426331,40.7319938,-73.6159393,42163
way/225189513way/601388078,way/225189513,way/601388078,Poor Richard's Playground,Railroad Playground,40.7926185,-73.9426331,40.6494403,-73.9143004,36922.5
way/225189513way/496524239,way/225189513,way/496524239,Poor Richard's Playground,Halsey Pond Park,40.7926185,-73.9426331,41.0283515,-73.8587462,32989.3
way/225189513way/187680299,way/225189513,way/187680299,Poor Richard's Playground,Olmezer Park,40.7926185,-73.9426331,40.5504805,-74.3665681,69399
way/225189513way/469203131,way/225189513,way/469203131,Poor Richard's Playground,Joseph F. Mafera Park,40.7926185,-73.9426331,40.7070248,-73.8912414,15653.4
way/225189513way/334803989,way/225189513,way/334803989,Poor Richard's Playground,Civil War Monument Park,40.7926185,-73.9426331,40.9973838,-73.6682347,38311.2
way/225189513way/639082317,way/225189513,way/639082317,Poor Richard's Playground,Huddy Park,40.7926185,-73.9426331,40.4048161,-73.9942834,98564.5
way/225189513way/1180028681,way/225189513,way/1180028681,Poor Richard's Playground,Veterans Memorial Park,40.7926185,-73.9426331,40.8964486,-73.9731078,16965.1
way/225189513way/676105729,way/225189513,way/676105729,Poor Richard's Playground,,40.7926185,-73.9426331,40.7541286,-73.8249625,16272.1
way/225189513node/357637130,way/225189513,node/357637130,Poor Richard's Playground,Georgia Avenue Garden,40.7926185,-73.9426331,40.6611111,-73.8941667,34327.4
way/225189513node/357610721,way/225189513,node/357610721,Poor Richard's Playground,Veteran's Memorial Park,40.7926185,-73.9426331,41.0408397,-73.9819517,38818.6
way/225189513way/607557302,way/225189513,way/607557302,Poor Richard's Playground,,40.7926185,-73.9426331,40.6597213,-74.2520383,52650.8
way/225189513way/445852457,way/225189513,way/445852457,Poor Richard's Playground,Stein Field,40.7926185,-73.9426331,40.5969947,-74.2929807,59485.8
way/225189513relation/17283039,way/225189513,relation/17283039,Poor Richard's Playground,Nassau Mall,40.7926185,-73.9426331,40.7647537,-73.7250832,28445.5
way/225189513way/409831746,way/225189513,way/409831746,Poor Richard's Playground,Calvert Field,40.7926185,-73.9426331,40.8326797,-73.4920356,53287.7
way/225189513way/981858308,way/225189513,way/981858308,Poor Richard's Playground,,40.7926185,-73.9426331,40.7816228,-73.6743688,34009.7
way/225189513way/916885477,way/225189513,way/916885477,Poor Richard's Playground,,40.7926185,-73.9426331,40.840043,-73.7074015,39857.1
way/225189513way/367482920,way/225189513,way/367482920,Poor Richard's Playground,Sergeant Collins Triangle,40.7926185,-73.9426331,40.751779,-73.902945,9674.9
way/225189513way/755070460,way/225189513,way/755070460,Poor Richard's Playground,Nature Study Woods,40.7926185,-73.9426331,40.9356728,-73.8025819,28075
way/676105729way/701209222,way/676105729,way/701209222,,Stewart Field,40.7541286,-73.8249625,40.7319938,-73.6159393,24603
way/676105729way/601388078,way/676105729,way/601388078,,Railroad Playground,40.7541286,-73.8249625,40.6494403,-73.9143004,24789.2
way/676105729way/496524239,way/676105729,way/496524239,,Halsey Pond Park,40.7541286,-73.8249625,41.0283515,-73.8587462,42787.2
way/676105729way/187680299,way/676105729,way/187680299,,Olmezer Park,40.7541286,-73.8249625,40.5504805,-74.3665681,79213.9
way/676105729way/469203131,way/676105729,way/469203131,,Joseph F. Mafera Park,40.7541286,-73.8249625,40.7070248,-73.8912414,13938.8
way/676105729way/334803989,way/676105729,way/334803989,,Civil War Monument Park,40.7541286,-73.8249625,40.9973838,-73.6682347,36508.1
way/676105729way/639082317,way/676105729,way/639082317,,Huddy Park,40.7541286,-73.8249625,40.4048161,-73.9942834,108379.5
way/676105729way/1180028681,way/676105729,way/1180028681,,Veterans Memorial Park,40.7541286,-73.8249625,40.8964486,-73.9731078,26780.1
way/676105729way/225189513,way/676105729,way/225189513,,Poor Richard's Playground,40.7541286,-73.8249625,40.7926185,-73.9426331,17111.6
way/676105729node/357637130,way/676105729,node/357637130,,Georgia Avenue Garden,40.7541286,-73.8249625,40.6611111,-73.8941667,22194.1
way/676105729node/357610721,way/676105729,node/357610721,,Veteran's Memorial Park,40.7541286,-73.8249625,41.0408397,-73.9819517,48633.5
way/676105729way/607557302,way/676105729,way/607557302,,,40.7541286,-73.8249625,40.6597213,-74.2520383,62465.8
way/676105729way/445852457,way/676105729,way/445852457,,Stein Field,40.7541286,-73.8249625,40.5969947,-74.2929807,69300.7
way/676105729relation/17283039,way/676105729,relation/17283039,,Nassau Mall,40.7541286,-73.8249625,40.7647537,-73.7250832,10885.5
way/676105729way/409831746,way/676105729,way/409831746,,Calvert Field,40.7541286,-73.8249625,40.8326797,-73.4920356,35727.7
way/676105729way/981858308,way/676105729,way/981858308,,,40.7541286,-73.8249625,40.7816228,-73.6743688,16449.6
way/676105729way/916885477,way/676105729,way/916885477,,,40.7541286,-73.8249625,40.840043,-73.7074015,22297.1
way/676105729way/367482920,way/676105729,way/367482920,,Sergeant Collins Triangle,40.7541286,-73.8249625,40.751779,-73.902945,7738.4
